BENCHMARK, START_STVARS, LTL2SMV_STVARS, LTL2SMV_TIME, CIRCUIT_STVARS, CIRCUIT_TIME
"benchmarks_wbs/wbs_arch2.ltl_121.vmt", 44, 44, 0.036, 47, 1.366
"benchmarks_wbs/wbs_arch2.ltl_122.vmt", 44, 44, 0.022, 47, 1.126
"benchmarks_wbs/wbs_arch2.ltl_123.vmt", 44, 44, 0.026, 47, 0.867
"benchmarks_wbs/wbs_arch2.ltl_124.vmt", 44, 44, 0.019, 47, 1.036
"benchmarks_wbs/wbs_arch2.ltl_125.vmt", 44, 44, 0.022, 47, 1.309
"benchmarks_wbs/wbs_arch2.ltl_126.vmt", 44, 44, 0.025, 47, 1.140
"benchmarks_wbs/wbs_arch2.ltl_127.vmt", 44, 44, 0.019, 47, 0.641
"benchmarks_wbs/wbs_arch2.ltl_128.vmt", 44, 44, 0.029, 47, 0.964
"benchmarks_wbs/wbs_arch2.ltl_129.vmt", 42, 46, 0.256, 231, 11.890
"benchmarks_wbs/wbs_arch2.ltl_12.vmt", 89, 103, 2.424, 589, 38.105
"benchmarks_wbs/wbs_arch2.ltl_130.vmt", 42, 46, 0.271, 231, 9.009
"benchmarks_wbs/wbs_arch2.ltl_131.vmt", 42, 46, 0.285, 231, 9.929
"benchmarks_wbs/wbs_arch2.ltl_132.vmt", 42, 46, 0.467, 231, 8.262
"benchmarks_wbs/wbs_arch2.ltl_133.vmt", 28, 32, 0.243, 445, 27.341
"benchmarks_wbs/wbs_arch2.ltl_14.vmt", 89, 103, 1.962, 589, 34.827
"benchmarks_wbs/wbs_arch2.ltl_16.vmt", 89, 103, 2.090, 589, 39.822
"benchmarks_wbs/wbs_arch2.ltl_18.vmt", 89, 103, 1.730, 589, 36.872
"benchmarks_wbs/wbs_arch2.ltl_1.vmt", 89, 95, 4.754, 1081, 183.149
"benchmarks_wbs/wbs_arch2.ltl_20.vmt", 89, 103, 1.659, 589, 33.839
"benchmarks_wbs/wbs_arch2.ltl_22.vmt", 89, 95, 1.125, 801, 58.320
"benchmarks_wbs/wbs_arch2.ltl_23.vmt", 89, 95, 1.160, 801, 60.597
"benchmarks_wbs/wbs_arch2.ltl_24.vmt", 89, 95, 0.309, 655, 36.229
"benchmarks_wbs/wbs_arch2.ltl_25.vmt", 89, 113, 5.098, 696, 38.545
"benchmarks_wbs/wbs_arch2.ltl_28.vmt", 89, 95, 0.642, 655, 40.580
"benchmarks_wbs/wbs_arch2.ltl_29.vmt", 89, 113, 7.571, 696, 47.076
"benchmarks_wbs/wbs_arch2.ltl_2.vmt", 89, 95, 35.598, 1081, 107.480
"benchmarks_wbs/wbs_arch2.ltl_32.vmt", 89, 95, 0.299, 655, 33.083
"benchmarks_wbs/wbs_arch2.ltl_33.vmt", 89, 113, 4.531, 696, 44.662
"benchmarks_wbs/wbs_arch2.ltl_36.vmt", 89, 95, 0.408, 655, 34.467
"benchmarks_wbs/wbs_arch2.ltl_37.vmt", 89, 113, 3.731, 696, 47.012
"benchmarks_wbs/wbs_arch2.ltl_3.vmt", 89, 95, 85.819, 1081, 165.481
